qid,docid,docno,rank,score,query,run_id
MB01,133,2045393501299548572,0,1.8458459867705683,regime change iran,BM25_lexemes
MB01,131,2045398108817830004,1,1.5705479472772255,regime change iran,BM25_lexemes
MB01,123,2045399803203592596,2,1.5702277062928636,regime change iran,BM25_lexemes
MB01,124,2045399721959977051,3,1.5702277062928636,regime change iran,BM25_lexemes
MB01,125,2045399616376758278,4,1.5702277062928636,regime change iran,BM25_lexemes
MB01,127,2045399529609183420,5,1.5702277062928636,regime change iran,BM25_lexemes
MB01,128,2045399431688945699,6,1.5702277062928636,regime change iran,BM25_lexemes
MB01,129,2045399378849104068,7,1.5702277062928636,regime change iran,BM25_lexemes
MB01,130,2045399286964535695,8,1.5702277062928636,regime change iran,BM25_lexemes
MB01,190,2045298074671804579,9,1.5702277062928636,regime change iran,BM25_lexemes
MB01,191,2045297910871634089,10,1.5702277062928636,regime change iran,BM25_lexemes
MB01,193,2045297668034019582,11,1.5702277062928636,regime change iran,BM25_lexemes
MB01,194,2045297466426466554,12,1.5702277062928636,regime change iran,BM25_lexemes
MB01,195,2045297284687266289,13,1.5702277062928636,regime change iran,BM25_lexemes
MB01,196,2045297112997621986,14,1.5702277062928636,regime change iran,BM25_lexemes
MB01,197,2045296944323666106,15,1.5702277062928636,regime change iran,BM25_lexemes
MB01,198,2045296726551220349,16,1.5702277062928636,regime change iran,BM25_lexemes
MB01,199,2045295996088025484,17,1.5702277062928636,regime change iran,BM25_lexemes
MB01,168,2045332267162276135,18,1.518010706676162,regime change iran,BM25_lexemes
MB01,186,2045306716091281769,19,1.3860928776853518,regime change iran,BM25_lexemes
MB01,188,2045306321793433782,20,1.3768912344413493,regime change iran,BM25_lexemes
MB01,122,2045400293710471508,21,1.3250983341777371,regime change iran,BM25_lexemes
MB01,74,2045436304238764390,22,1.316586042699281,regime change iran,BM25_lexemes
MB01,46,2045443906599346534,23,1.2107883434058677,regime change iran,BM25_lexemes
MB01,93,2045433390967517552,24,1.2094413730998186,regime change iran,BM25_lexemes
MB01,20,2045453809359462654,25,1.1758239790315512,regime change iran,BM25_lexemes
MB01,23,2045453020553695609,26,1.10199134370347,regime change iran,BM25_lexemes
MB01,45,2045444062484804010,27,1.0657274299626,regime change iran,BM25_lexemes
MB01,3,2045459926248829101,28,1.0387433926885359,regime change iran,BM25_lexemes
MB01,2,2045460590563410352,29,1.0083433220132776,regime change iran,BM25_lexemes
MB02,112,2045427519814312418,0,3.476598134881536,regime collapse,BM25_lexemes
MB02,142,2045381055708860714,1,3.371783805572695,regime collapse,BM25_lexemes
MB02,152,2045364763312455785,2,3.371783805572695,regime collapse,BM25_lexemes
MB02,101,2045458769492979802,3,3.273104510269743,regime collapse,BM25_lexemes
MB02,135,2045392180802396314,4,3.180036917519705,regime collapse,BM25_lexemes
MB02,156,2045358981343072490,5,3.180036917519705,regime collapse,BM25_lexemes
MB02,176,2045318504618868886,6,3.180036917519705,regime collapse,BM25_lexemes
MB02,126,2045399549531890158,7,3.0089251086839486,regime collapse,BM25_lexemes
MB02,162,2045348543255150822,8,3.0089251086839486,regime collapse,BM25_lexemes
MB02,164,2045345115867349323,9,3.0089251086839486,regime collapse,BM25_lexemes
MB02,182,2045310621353177590,10,3.0089251086839486,regime collapse,BM25_lexemes
MB02,133,2045393501299548572,11,2.9300936918368317,regime collapse,BM25_lexemes
MB02,178,2045315972463047147,12,2.884763301605079,regime collapse,BM25_lexemes
MB02,65,2045438432747667600,13,2.8552874578243967,regime collapse,BM25_lexemes
MB02,66,2045438384320205216,14,2.8552874578243967,regime collapse,BM25_lexemes
MB02,103,2045455413861023835,15,2.8552874578243967,regime collapse,BM25_lexemes
MB02,144,2045379660976939335,16,2.8552874578243967,regime collapse,BM25_lexemes
MB02,146,2045379059228487850,17,2.8552874578243967,regime collapse,BM25_lexemes
MB02,147,2045377434011488749,18,2.8552874578243967,regime collapse,BM25_lexemes
MB02,173,2045325917611049104,19,2.8552874578243967,regime collapse,BM25_lexemes
MB02,189,2045305048268484832,20,2.8455285095373943,regime collapse,BM25_lexemes
MB02,172,2045326421111820314,21,2.8185961481922432,regime collapse,BM25_lexemes
MB02,134,2045393312979542087,22,2.7554491906033722,regime collapse,BM25_lexemes
MB02,107,2045442657254564083,23,2.7165772753228477,regime collapse,BM25_lexemes
MB02,115,2045423484126351672,24,2.7165772753228477,regime collapse,BM25_lexemes
MB02,148,2045373342442475887,25,2.6521562523573654,regime collapse,BM25_lexemes
MB02,155,2045360032850559102,26,2.590719818201214,regime collapse,BM25_lexemes
MB02,145,2045379394219208886,27,2.476007805745254,regime collapse,BM25_lexemes
MB02,175,2045321292937679212,28,2.476007805745254,regime collapse,BM25_lexemes
MB02,177,2045318021556924429,29,2.476007805745254,regime collapse,BM25_lexemes
MB03,274,2045449825953415622,0,5.1772600291082425,closing hormuz strait,BM25_lexemes
MB03,210,2045460430038925635,1,5.137367885915627,closing hormuz strait,BM25_lexemes
MB03,243,2045455038752190844,2,5.137367885915627,closing hormuz strait,BM25_lexemes
MB03,246,2045454947257577803,3,5.137367885915627,closing hormuz strait,BM25_lexemes
MB03,299,2045446092720882085,4,5.137367885915627,closing hormuz strait,BM25_lexemes
MB03,217,2045459430100058130,5,5.117249796789262,closing hormuz strait,BM25_lexemes
MB03,204,2045461488979112332,6,5.03613061018119,closing hormuz strait,BM25_lexemes
MB03,231,2045456663184847359,7,4.991291749112371,closing hormuz strait,BM25_lexemes
MB03,247,2045454542460850480,8,4.991291749112371,closing hormuz strait,BM25_lexemes
MB03,250,2045453773682671952,9,4.991291749112371,closing hormuz strait,BM25_lexemes
MB03,253,2045452671298007229,10,4.991291749112371,closing hormuz strait,BM25_lexemes
MB03,275,2045449695489892499,11,4.991291749112371,closing hormuz strait,BM25_lexemes
MB03,292,2045447076343951468,12,4.991291749112371,closing hormuz strait,BM25_lexemes
MB03,212,2045460030061772928,13,4.872125218617751,closing hormuz strait,BM25_lexemes
MB03,220,2045459033885491314,14,4.853293009420394,closing hormuz strait,BM25_lexemes
MB03,244,2045454999518339562,15,4.853293009420394,closing hormuz strait,BM25_lexemes
MB03,294,2045446979543585187,16,4.853293009420394,closing hormuz strait,BM25_lexemes
