Run,MAP,P@1,P@5,P@10,R@30
PL2_stems,0.1868455081510874,0.8,0.4,0.4600000000000001,0.37333333333333335
PL2_lexemes,0.1868455081510874,0.8,0.4,0.4600000000000001,0.37333333333333335
DPH_lexemes,0.18494851326293243,0.8,0.48,0.45999999999999996,0.33333333333333337
DPH_stems,0.18494851326293243,0.8,0.48,0.45999999999999996,0.33333333333333337
TF_IDF_stems,0.18424453318786732,0.8,0.4,0.4600000000000001,0.3666666666666667
TF_IDF_lexemes,0.18424453318786732,0.8,0.4,0.4600000000000001,0.3666666666666667
TF_IDF_lemmes,0.1827491991310955,0.6,0.44000000000000006,0.42000000000000004,0.37333333333333335
PL2_lemmes,0.18185843567215582,0.6,0.48,0.42000000000000004,0.37333333333333335
DPH_lemmes,0.17804449459963037,0.8,0.48,0.44000000000000006,0.32666666666666666
BM25_lexemes,0.1526805047017204,0.6,0.27999999999999997,0.33999999999999997,0.32666666666666666
BM25_stems,0.1526805047017204,0.6,0.27999999999999997,0.33999999999999997,0.32666666666666666
BM25_lemmes,0.15063939112986408,0.6,0.32,0.32,0.32
